"","GARCH","EGARCH","GJR","RV"
"2014-07-06",1.40442359026106,1.26632179225283,1.2872753386125,0.86446709141461
"2014-07-13",1.45385495072617,1.23128004991295,1.26947282487171,1.03082096272122
"2014-07-20",1.4270049911843,1.4326884980379,1.39161485858416,1.70493217889099
"2014-07-27",1.36159594794344,1.33740077066673,1.33695948824277,0.75744202635913
"2014-08-03",1.28661838669043,1.23974488889424,1.29569167089109,2.09044697226906
"2014-08-10",1.8245204865303,2.22224064047664,2.24976241198959,1.75653849319546
"2014-08-17",1.64722080151609,1.94487101501051,1.99167934104705,0.858898618062894
"2014-08-24",1.61611852802561,1.76531311129751,1.79532979593132,1.07626313394277
"2014-08-31",1.69783206506016,1.64498480399384,1.65094284168318,0.614564250633225
"2014-09-07",1.58477995569267,1.51424670341299,1.5305662772682,0.533805073601806
"2014-09-14",1.45820167312659,1.39005578798999,1.43778395629467,1.01183107047431
"2014-09-21",1.46511527962838,1.62372635599229,1.56468674815992,0.904520537577927
"2014-09-28",1.49586402104207,1.51673886452558,1.47111548185603,2.2311500660521
"2014-10-05",1.54532711782083,1.81090407120974,1.68178334137062,1.77610524317964
"2014-10-12",1.47253895635066,1.8283890787316,1.63474748363834,3.32107978664831
"2014-10-19",2.08725314155019,2.72939555512722,2.65187736392027,2.25449336536532
"2014-10-26",1.91282358023828,2.58408099135731,2.4139570526406,2.66688697565841
"2014-11-02",2.62722669520922,2.35484495361679,2.17998022471786,1.78784866109617
"2014-11-09",2.63490777357163,2.13280229035205,1.96485867245451,0.739454490970324
"2014-11-16",2.30783846018759,1.88972683314174,1.77025733259899,0.331971677500482
"2014-11-23",2.02943960222656,1.69168892347847,1.61904719707466,0.775655458135275
"2014-11-30",1.88760800040214,1.56659343315454,1.51052875969612,0.488213026175634
"2014-12-07",1.69092108741036,1.43095214859787,1.42286466762091,1.0281214014072
"2014-12-14",1.54679931665918,1.32964632409138,1.35888604611786,2.47503065293306
"2014-12-21",2.27236503028314,2.73597838917811,2.77431745977583,3.32126242969309
"2014-12-28",2.59128393142727,2.44064974280685,2.44528090644696,0.533343342306678
"2015-01-04",2.28856781337201,2.12947005529233,2.14891215512457,1.15019080661718
"2015-01-11",2.1331513764704,2.2849422911205,2.16041480464198,3.06493165800407
"2015-01-18",1.90884055856652,2.15481215308313,1.97186480141526,1.92571422184377
"2015-01-25",1.81300998208027,2.23315347467979,1.96791607772975,1.68718076134933
"2015-02-01",1.80969048645561,1.9998698334013,1.78160534156651,2.51778874087545
"2015-02-08",2.13853464349204,2.66983756238778,2.51406457440887,2.24789400804281
"2015-02-15",2.39415425765945,2.37819281303886,2.23207839558239,1.54771606451251
"2015-02-22",2.31112236802892,2.12442807562571,1.99287199295694,0.640951649385987
